,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,ate,ate_hat,ate_error,policy_risk,baseline
69,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.34699695502836236,0.34359695502836235,0.03604407855600714,RW-SL
70,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.18341672599200143,0.18001672599200144,0.03810609960100852,Proxy Oracle
71,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,0.07871160552583165,0.08211160552583165,0.03916944034030284,Target Oracle
72,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.013178834721338628,0.009778834721338628,0.041057716020096564,OBS
73,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.012589428600033925,0.009189428600033925,0.039168364039864866,OBS Oracle
74,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.2736981521625039,0.2702981521625039,0.04037151089636852,COM
75,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.48601672643098476,0.48261672643098474,0.038900730769395875,COM-SL
76,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.2994823533931663,0.2960823533931663,0.038900730769395875,RW
77,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.47763807898385086,0.47423807898385084,0.038900730769395875,RW-SL
78,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.40186827725624136,0.39846827725624134,0.038900730769395875,Proxy Oracle
79,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,-0.0034,-0.06589997360501698,0.06249997360501698,0.03973065805513761,Target Oracle
