,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,AU-ROC,ACC,do,baseline
120,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.44706317981948623,0.9422928956142601,0,RW
121,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.3797762863534675,0.9617850730956655,1,RW
122,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.4836010182828049,0.9115157732751987,0,RW-SL
123,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.39248143176733785,0.9617850730956655,1,RW-SL
124,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.5303139705315129,0.9428058476532444,0,Proxy Oracle
125,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.39852080536912754,0.9617850730956655,1,Proxy Oracle
126,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.6951994137159607,0.9484483200820724,0,Target Oracle
127,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.6916053691275167,0.950756604257502,1,Target Oracle
128,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.5089209855564996,0.9579379328032829,0,OBS
129,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.5322920746123609,0.9607591690176969,1,OBS
130,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.7309668302325179,0.9512695562964862,0,OBS Oracle
131,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.713261317320105,0.9556296486278533,1,OBS Oracle
132,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.5234069668649108,0.8676583739420364,0,COM
133,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.3969066837822549,0.9622980251346499,1,COM
134,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.5490255405475699,0.9007437804565274,0,COM-SL
135,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.40045127859246044,0.9622980251346499,1,COM-SL
136,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.5462946266017027,0.8784303667607078,0,RW
137,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.38868793786171185,0.9622980251346499,1,RW
138,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.4718577150486363,0.9066427289048474,0,RW-SL
139,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.3885329184978895,0.9622980251346499,1,RW-SL
140,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.4456166663776811,0.8894588355988715,0,Proxy Oracle
141,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.40127623544087143,0.9622980251346499,1,Proxy Oracle
142,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.7014131395973852,0.9484483200820724,0,Target Oracle
143,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,0.7214120722916032,0.9540907925109002,1,Target Oracle
144,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.4439497828713227,0.9492177481405488,0,OBS
145,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.41274109988903573,0.9533213644524237,1,OBS
146,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.7310926633362719,0.950756604257502,0,OBS Oracle
147,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.7420275360987229,0.9551166965888689,1,OBS Oracle
148,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.4262268586541287,0.823544498589382,0,COM
149,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.3717152459236538,0.9612721210566813,1,COM
150,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.4515247983805139,0.6753013593229034,0,COM-SL
151,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.3987300953444486,0.9612721210566813,1,COM-SL
152,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.40799621249224544,0.84688381636317,0,RW
153,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.38873447737247946,0.9612721210566813,1,RW
154,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.39107405230678816,0.6363170043600923,0,RW-SL
155,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.40810463152091714,0.9612721210566813,1,RW-SL
156,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.40750481601201555,0.8432931520902796,0,Proxy Oracle
157,0.4,0,0.0,0,1.609206447028555e-05,0.028959661722183228,3.943774649068059e-18,0.9933370053768158,ohie,12994,0.39658678889226573,0.9612721210566813,1,Proxy Oracle
